Ticker,TrailingPE,ForwardPE,actualRatio
LDOS,11.721866,9.7094145,0.8283164557588356
LEN,12.847483,11.764287,0.9156880768007243
LII,22.345932,18.818813,0.8421583400504395
LLY,37.86415,23.942705,0.6323317702893105
LIN,34.194553,26.127346,0.7640791795114269
LMT,25.8188,16.6064,0.6431902334732831
L,13.879134,37.617237,2.7103446800066924
LOW,17.927303,15.7408085,0.8780355026073917
LULU,9.604073,9.650345,1.004817955881843
MTB,12.091574,10.317982,0.853320006146429
MPC,16.319078,11.03796,0.6763838006044214
MAR,39.101463,28.565468,0.7305472943557124
MRSH,20.27159,14.31068,0.7059475847725807
MLM,35.212177,24.351774,0.6915725204948278
MAS,17.054457,14.648449,0.8589220401446965
MA,28.49769,21.656939,0.7599541927784323
MKC,7.67541,13.988354,1.8224894826465294
MCD,23.003296,19.639326,0.8537613914110396
MCK,19.65607,14.990976,0.7626639506269565
MDT,21.675978,12.807521,0.5908624284449818
META,22.250727,17.006153,0.7642965104016601
MTD,25.864958,21.477785,0.8303815919592833
MSFT,24.793205,21.5139,0.8677337197833035
MAA,39.557575,33.55784,0.848329049493049
MDLZ,30.316833,18.066868,0.595935202070744
MNST,42.231884,33.831398,0.801086638711169
MCO,32.40661,24.257227,0.7485271369020086
MS,18.275362,15.886938,0.8693090730569386
MSI,33.076553,22.196758,0.6710722849506114
MSCI,33.55302,26.209528,0.7811376740454362
NDAQ,27.373493,20.520462,0.7496471860569639
NTAP,23.313757,16.284985,0.6985139718150103
NFLX,28.283873,22.81628,0.8066886737894771
NEM,14.476006,9.756051,0.6739463219343789
NWSA,33.16456,20.300007,0.6120993916397504
NWS,37.911392,23.205542,0.6120994449372896
NEE,22.246193,19.955057,0.8970099737964153
NKE,29.565788,24.626547,0.8329406610099483
NI,23.781094,21.322721,0.8966248987536066
NDSN,30.751068,23.237112,0.755652193933557
NSC,27.0,23.68428,0.8771955555555556
NTRS,17.794764,14.315873,0.8044991773984752
NOC,17.460018,18.4645,1.0575304103352012
NCLH,13.790323,8.476845,0.6146951742899713
NUE,23.861967,15.223045,0.637962704415776
NVDA,32.953987,16.990715,0.5155890545201709
NVR,14.738999,14.36967,0.9749420567841819
NXPI,31.743322,18.870913,0.5944845029137152
ORLY,29.273617,24.86058,0.8492486596377892
ODFL,45.127083,34.997665,0.775535724301081
OKE,16.121212,14.633073,0.9076906252457941
ORCL,34.66068,24.034828,0.6934320965428261
OTIS,19.343086,15.415463,0.7969495146741322
PCAR,23.831917,16.53643,0.6938774585359625
PKG,26.545567,17.869427,0.6731604941796875
PH,31.983421,25.509407,0.7975821910983193
PAYX,20.927153,16.091635,0.7689356980378554
PYPL,8.285178,7.64441,0.9226609253295462
PNR,18.477386,12.656158,0.684953921512491
PEP,22.869701,15.925732,0.6963681772665065
PCG,12.7286825,9.109418,0.7156607135106088
PM,25.531645,19.873531,0.7783881923785169
PSX,17.164858,10.516301,0.6126646081196827
PNW,19.184702,18.433172,0.9608266002776586
PNC,12.830332,10.499223,0.81831265161338
POOL,16.76011,15.148444,0.9038391752798758
PPG,15.69341,12.645778,0.8058017983344601
PPL,22.159508,17.062847,0.7700011660908718
PFG,15.022956,10.253844,0.6825450330813723
PG,20.870073,20.162958,0.9661182306358007
PGR,10.116031,12.267644,1.2126933972424563
PLD,36.919598,43.24461,1.1713185501098902
PRU,10.568486,7.01237,0.6635169881475927
PEG,17.714602,17.047087,0.9623183744122505
PTC,13.917388,16.768053,1.2048275869006453
PSA,31.453512,30.117277,0.9575171446673427
PHM,11.396518,10.531838,0.924127702865033
QCOM,26.78364,23.393759,0.8734346414453003
DGX,21.289183,16.526857,0.7763030173586276
Q,52.916405,34.59228,0.6537156104992394
RL,25.266712,18.739067,0.741650397566569
RJF,14.365439,11.366422,0.7912338773635808
RTX,33.57786,23.669397,0.7049108251687273
O,51.188522,36.280087,0.7087543375446551
REG,27.14433,31.17464,1.1484770484296352
REGN,15.497436,11.802651,0.7615873361245047
RF,11.721992,9.894852,0.8441271756541039
RSG,29.663324,25.687695,0.8659749325463324
RMD,20.07529,17.050797,0.8493425001581546
HOOD,35.96602,27.108013,0.7537117812868924
ROK,47.383175,31.441923,0.6635672472349098
ROL,48.77064,38.03364,0.779847055523569
ROP,19.993757,13.404365,0.6704275239516015
ROST,32.776535,27.400072,0.8359660958670585
RCL,16.33374,13.381365,0.8192468473233933
SPGI,26.056854,18.576515,0.7129224042165643
CRM,22.958975,11.963926,0.5211001797771896
SBAC,21.234735,24.888927,1.1720855946636488
SLB,25.541851,17.299717,0.677308664904513
SRE,31.139456,16.534105,0.5309696161679895
SHW,29.870441,23.45898,0.7853576718201114
SPG,14.400835,30.056644,2.0871459189692816
SNA,19.220041,17.473585,0.9091335965412354
SOLV,9.335373,10.802504,1.1571582624497168
SO,24.063936,19.135496,0.7951939366860018
STT,16.093401,11.47446,0.712991616874519
STLD,26.819057,14.72452,0.5490319812512423
STE,27.272385,17.873554,0.655371871583655
SYK,36.22685,18.728765,0.5169857439992712
SMCI,19.526316,11.521631,0.5900565677621933
SYF,7.4430647,6.8581347,0.9214127481654163
SYY,20.922222,15.202955,0.7266415106387839
TMUS,20.330853,13.67764,0.6727528844953037
TROW,11.139485,10.778923,0.9676320763482333
TRGP,27.539797,22.587585,0.8201797929011605
TGT,16.569353,14.112652,0.8517322311860941
TEL,21.307457,16.511003,0.7748931747228212
TDY,31.82818,24.100819,0.7572163724096069
TER,72.33086,40.905186,0.5655288213080835
TXN,55.63185,34.43948,0.6190604842369974
TXT,17.687023,12.701597,0.7181308578611562
TMO,24.625273,16.417824,0.6667062736725802
TJX,30.928017,27.653208,0.8941151319206789
TKO,70.18283,40.34517,0.5748581241309306
TSCO,14.679803,12.877354,0.8772157228540465
TT,35.277523,27.103767,0.7683013061886459
TDG,38.264668,26.150751,0.6834176896556374
TRV,9.099701,10.678156,1.173462292881931
TFC,12.049505,9.498592,0.7882972786019011
TYL,42.457184,21.406406,0.5041880780411626
USB,11.57652,9.771134,0.8440476067073697
UBER,17.399504,16.153706,0.9284003727922359
UDR,25.870747,63.383327,2.449999878240856
ULTA,20.118519,16.290401,0.8097216798115209
UNP,22.312757,19.809216,0.8877977741612119
UAL,9.47406,7.4679637,0.7882537898218926
UPS,16.5,12.742491,0.7722721818181818
URI,24.601942,17.88479,0.7269665947509346
UNH,28.356659,18.076605,0.6374730182423818
UHS,6.5398746,6.148231,0.9401145092292749
VLO,17.649853,12.315937,0.6977926105106937
